30-Jul-2014 19:09:09
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140730-03.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0-PMF-07.30.14-ch01
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 30.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, CeTb, Eu, mix] [14.47  14.37  14.47  16.82  14.00   0.74]
Resistances Mix2r 2 = [Sm, Dy, Tm, CeTb, Eu, mix] [14.97  14.74  15.90  14.00  14.00   0.29]
Oil: ch = 3, press = 9.00 psi
Push Water: ch = 2, press = 5.50 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, CeTb, Eu]  [6,  7,  4,  1,  5,]
Lanthanide Valves: [Sm, Dy, Tm, CeTb, Eu]  [C2,  C3,  C4,  C6,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_CeTb	Flow_Eu	P_Sm	P_Dy	P_Tm	P_CeTb	P_Eu
1	0.00	0.00	0.00	0.00	1.00	0.74	 0.74	 0.74	 0.74	14.74
2	0.00	0.00	0.05	0.00	0.95	0.74	 0.74	 1.44	 0.74	14.05
3	0.00	0.00	0.15	0.00	0.85	0.74	 0.74	 2.89	 0.74	12.65
4	0.00	0.00	0.35	0.00	0.65	0.74	0.74	5.85	0.74	9.79
5	0.00	0.00	0.77	0.00	0.23	0.74	 0.74	11.92	 0.74	 3.92
6	0.00	0.00	0.00	0.74	0.26	0.74	 0.74	 0.74	13.20	 4.37
7	0.00	0.00	0.05	0.74	0.21	0.74	 0.74	 1.44	13.20	 3.68
8	0.00	0.00	0.15	0.74	0.11	0.74	 0.74	 2.89	13.20	 2.28
9	0.04	0.00	0.00	0.00	0.96	1.36	 0.74	 0.74	 0.74	14.14
10	0.04	0.00	0.05	0.00	0.91	1.36	 0.74	 1.44	 0.74	13.45
11	0.04	0.00	0.15	0.00	0.81	1.36	 0.74	 2.89	 0.74	12.05
12	0.04	0.00	0.35	0.00	0.60	1.36	0.74	5.85	0.74	9.19
13	0.04	0.00	0.77	0.00	0.18	1.36	 0.74	11.92	 0.74	 3.32
14	0.04	0.00	0.00	0.74	0.22	1.36	 0.74	 0.74	13.20	 3.77
15	0.04	0.00	0.05	0.74	0.17	1.36	 0.74	 1.44	13.20	 3.08
16	0.04	0.00	0.15	0.74	0.07	1.36	 0.74	 2.89	13.20	 1.68
17	0.11	0.00	0.00	0.00	0.89	2.32	 0.74	 0.74	 0.74	13.21
18	0.11	0.00	0.05	0.00	0.84	2.32	 0.74	 1.44	 0.74	12.52
19	0.11	0.00	0.15	0.00	0.74	2.32	 0.74	 2.89	 0.74	11.12
20	0.11	0.00	0.35	0.00	0.54	2.32	0.74	5.85	0.74	8.26
21	0.11	0.00	0.77	0.00	0.12	2.32	 0.74	11.92	 0.74	 2.38
22	0.11	0.00	0.00	0.74	0.15	2.32	 0.74	 0.74	13.20	 2.84
23	0.11	0.00	0.05	0.74	0.10	2.32	 0.74	 1.44	13.20	 2.15
24	0.11	0.00	0.15	0.74	0.00	2.32	 0.74	 2.89	13.20	 0.75
25	0.21	0.00	0.00	0.00	0.79	3.81	 0.74	 0.74	 0.74	11.76
26	0.21	0.00	0.05	0.00	0.74	3.81	 0.74	 1.44	 0.74	11.08
27	0.21	0.00	0.15	0.00	0.64	3.81	0.74	2.89	0.74	9.68
28	0.21	0.00	0.35	0.00	0.43	3.81	0.74	5.85	0.74	6.81
29	0.21	0.00	0.77	0.00	0.01	3.81	 0.74	11.92	 0.74	 0.94
30	0.21	0.00	0.00	0.74	0.05	3.81	 0.74	 0.74	13.20	 1.39
31	0.37	0.00	0.00	0.00	0.63	6.12	0.74	0.74	0.74	9.52
32	0.37	0.00	0.05	0.00	0.58	6.12	0.74	1.44	0.74	8.84
33	0.37	0.00	0.15	0.00	0.48	6.12	0.74	2.89	0.74	7.44
34	0.37	0.00	0.35	0.00	0.27	6.12	0.74	5.85	0.74	4.58
35	0.62	0.00	0.00	0.00	0.38	9.71	0.74	0.74	0.74	6.05
36	0.62	0.00	0.05	0.00	0.33	9.71	0.74	1.44	0.74	5.37
37	0.62	0.00	0.15	0.00	0.23	9.71	0.74	2.89	0.74	3.97
38	0.62	0.00	0.35	0.00	0.03	9.71	0.74	5.85	0.74	1.10
39	0.00	0.04	0.00	0.00	0.96	0.74	 1.30	 0.74	 0.74	14.19
40	0.00	0.04	0.11	0.00	0.85	0.74	 1.30	 2.28	 0.74	12.69
41	0.00	0.04	0.33	0.00	0.63	0.74	1.30	5.46	0.74	9.62
42	0.00	0.04	0.78	0.00	0.19	0.74	 1.30	11.95	 0.74	 3.33
43	0.00	0.04	0.00	0.74	0.22	0.74	 1.30	 0.74	13.20	 3.82
44	0.00	0.04	0.11	0.74	0.11	0.74	 1.30	 2.28	13.20	 2.32
45	0.04	0.04	0.00	0.00	0.92	1.36	 1.30	 0.74	 0.74	13.59
46	0.04	0.04	0.11	0.00	0.81	1.36	 1.30	 2.28	 0.74	12.09
47	0.04	0.04	0.33	0.00	0.59	1.36	1.30	5.46	0.74	9.02
48	0.04	0.04	0.78	0.00	0.14	1.36	 1.30	11.95	 0.74	 2.73
49	0.04	0.04	0.00	0.74	0.18	1.36	 1.30	 0.74	13.20	 3.22
50	0.04	0.04	0.11	0.74	0.07	1.36	 1.30	 2.28	13.20	 1.72
51	0.11	0.04	0.00	0.00	0.85	2.32	 1.30	 0.74	 0.74	12.66
52	0.11	0.04	0.11	0.00	0.74	2.32	 1.30	 2.28	 0.74	11.16
53	0.11	0.04	0.33	0.00	0.53	2.32	1.30	5.46	0.74	8.09
54	0.11	0.04	0.78	0.00	0.08	2.32	 1.30	11.95	 0.74	 1.80
55	0.11	0.04	0.00	0.74	0.11	2.32	 1.30	 0.74	13.20	 2.29
56	0.11	0.04	0.11	0.74	0.00	2.32	 1.30	 2.28	13.20	 0.79
57	0.21	0.04	0.00	0.00	0.75	3.81	 1.30	 0.74	 0.74	11.22
58	0.21	0.04	0.11	0.00	0.64	3.81	1.30	2.28	0.74	9.72
59	0.21	0.04	0.33	0.00	0.42	3.81	1.30	5.46	0.74	6.65
60	0.21	0.04	0.00	0.74	0.01	3.81	 1.30	 0.74	13.20	 0.84
61	0.37	0.04	0.00	0.00	0.59	6.12	1.30	0.74	0.74	8.98
62	0.37	0.04	0.11	0.00	0.48	6.12	1.30	2.28	0.74	7.48
63	0.37	0.04	0.33	0.00	0.26	6.12	1.30	5.46	0.74	4.41
64	0.62	0.04	0.00	0.00	0.34	9.71	1.30	0.74	0.74	5.50
65	0.62	0.04	0.11	0.00	0.23	9.71	1.30	2.28	0.74	4.01
66	0.62	0.04	0.33	0.00	0.01	9.71	1.30	5.46	0.74	0.94
67	0.00	0.11	0.00	0.00	0.89	0.74	 2.26	 0.74	 0.74	13.25
68	0.00	0.11	0.21	0.00	0.69	0.74	 2.26	 3.73	 0.74	10.35
69	0.00	0.11	0.63	0.00	0.26	0.74	2.26	9.87	0.74	4.41
70	0.00	0.11	0.00	0.74	0.15	0.74	 2.26	 0.74	13.20	 2.88
71	0.04	0.11	0.00	0.00	0.85	1.36	 2.26	 0.74	 0.74	12.65
72	0.04	0.11	0.21	0.00	0.64	1.36	2.26	3.73	0.74	9.75
73	0.04	0.11	0.63	0.00	0.22	1.36	2.26	9.87	0.74	3.81
74	0.04	0.11	0.00	0.74	0.11	1.36	 2.26	 0.74	13.20	 2.28
75	0.11	0.11	0.00	0.00	0.78	2.32	 2.26	 0.74	 0.74	11.72
76	0.11	0.11	0.21	0.00	0.58	2.32	2.26	3.73	0.74	8.82
77	0.11	0.11	0.63	0.00	0.15	2.32	2.26	9.87	0.74	2.88
78	0.11	0.11	0.00	0.74	0.04	2.32	 2.26	 0.74	13.20	 1.35
79	0.21	0.11	0.00	0.00	0.68	3.81	 2.26	 0.74	 0.74	10.27
80	0.21	0.11	0.21	0.00	0.47	3.81	2.26	3.73	0.74	7.38
81	0.21	0.11	0.63	0.00	0.05	3.81	2.26	9.87	0.74	1.44
82	0.37	0.11	0.00	0.00	0.52	6.12	2.26	0.74	0.74	8.04
83	0.37	0.11	0.21	0.00	0.31	6.12	2.26	3.73	0.74	5.14
84	0.62	0.11	0.00	0.00	0.27	9.71	2.26	0.74	0.74	4.56
85	0.62	0.11	0.21	0.00	0.07	9.71	2.26	3.73	0.74	1.67
86	0.00	0.22	0.00	0.00	0.78	0.74	 3.92	 0.74	 0.74	11.63
87	0.00	0.22	0.38	0.00	0.40	0.74	3.92	6.22	0.74	6.33
88	0.00	0.22	0.00	0.74	0.04	0.74	 3.92	 0.74	13.20	 1.26
89	0.04	0.22	0.00	0.00	0.74	1.36	 3.92	 0.74	 0.74	11.03
90	0.04	0.22	0.38	0.00	0.36	1.36	3.92	6.22	0.74	5.73
91	0.11	0.22	0.00	0.00	0.67	2.32	 3.92	 0.74	 0.74	10.10
92	0.11	0.22	0.38	0.00	0.29	2.32	3.92	6.22	0.74	4.80
93	0.21	0.22	0.00	0.00	0.57	3.81	3.92	0.74	0.74	8.66
94	0.21	0.22	0.38	0.00	0.19	3.81	3.92	6.22	0.74	3.36
95	0.37	0.22	0.00	0.00	0.41	6.12	3.92	0.74	0.74	6.42
96	0.37	0.22	0.38	0.00	0.03	6.12	3.92	6.22	0.74	1.12
97	0.62	0.22	0.00	0.00	0.16	9.71	3.92	0.74	0.74	2.95
98	0.00	0.42	0.00	0.00	0.58	0.74	6.77	0.74	0.74	8.86
99	0.04	0.42	0.00	0.00	0.54	1.36	6.77	0.74	0.74	8.26
100	0.11	0.42	0.00	0.00	0.47	2.32	6.77	0.74	0.74	7.33
101	0.21	0.42	0.00	0.00	0.37	3.81	6.77	0.74	0.74	5.88
102	0.37	0.42	0.00	0.00	0.21	6.12	6.77	0.74	0.74	3.64
103	0.00	0.76	0.00	0.00	0.24	0.74	11.66	 0.74	 0.74	 4.09
104	0.04	0.76	0.00	0.00	0.20	1.36	11.66	 0.74	 0.74	 3.49
105	0.11	0.76	0.00	0.00	0.13	2.32	11.66	 0.74	 0.74	 2.56
106	0.21	0.76	0.00	0.00	0.03	3.81	11.66	 0.74	 0.74	 1.12
Mixer 2
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_CeTb	Flow_Eu	P_Sm	P_Dy	P_Tm	P_CeTb	P_Eu
1	0.00	0.00	0.00	0.00	1.00	0.29	 0.29	 0.29	 0.29	14.29
2	0.00	0.00	0.05	0.00	0.95	0.29	 0.29	 1.06	 0.29	13.60
3	0.00	0.00	0.15	0.00	0.85	0.29	 0.29	 2.65	 0.29	12.20
4	0.00	0.00	0.35	0.00	0.65	0.29	0.29	5.91	0.29	9.34
5	0.00	0.00	0.77	0.00	0.23	0.29	 0.29	12.57	 0.29	 3.46
6	0.00	0.00	0.00	0.74	0.26	0.29	 0.29	 0.29	10.66	 3.92
7	0.00	0.00	0.05	0.74	0.21	0.29	 0.29	 1.06	10.66	 3.23
8	0.00	0.00	0.15	0.74	0.11	0.29	 0.29	 2.65	10.66	 1.83
9	0.04	0.00	0.00	0.00	0.96	0.93	 0.29	 0.29	 0.29	13.69
10	0.04	0.00	0.05	0.00	0.91	0.93	 0.29	 1.06	 0.29	13.00
11	0.04	0.00	0.15	0.00	0.81	0.93	 0.29	 2.65	 0.29	11.60
