23-Jun-2014 13:12:26
Z:\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140623-01.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0A-PMF-06.12.14-ch01
Sm = [0.00  0.04  0.09  0.15  0.22  0.31  0.41  0.54  0.70  0.89]
Dy = [0.00  0.03  0.07  0.12  0.19  0.26  0.36  0.48  0.63  0.82]
Tm = [0.00]
Mixer cleaning time = 6.00 sec
Mixing time = 3.00 min 30.00 sec
Drop stabilization time = 25.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, Eu, mix] [15.12  14.36  15.90  14.00   0.27]
Resistances Mix2r 2 = [Sm, Dy, Tm, Eu, mix] [14.97  14.74  15.90  14.00   0.27]
Flush/clean water: ch = 1, press = 6.00 psi
Oil: ch = 3, press = 9.00 psi
Push Water: ch = 2, press = 5.50 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, Eu]  [6,  7,  4,  5,]
Lanthanide Valves: [Sm, Dy, Tm, Eu]  [C2,  C3,  C4,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
23	0.09	0.07	0.00	0.84	1.62	 1.32	 0.27	11.99
24	0.09	0.12	0.00	0.79	1.62	 2.04	 0.27	11.29
25	0.09	0.19	0.00	0.72	1.62	 2.95	 0.27	10.41
26	0.09	0.26	0.00	0.65	1.62	4.07	0.27	9.31
27	0.09	0.36	0.00	0.55	1.62	5.46	0.27	7.95
28	0.09	0.48	0.00	0.43	1.62	7.20	0.27	6.26
29	0.09	0.63	0.00	0.28	1.62	9.36	0.27	4.15
30	0.09	0.82	0.00	0.09	1.62	12.05	 0.27	 1.53
31	0.15	0.00	0.00	0.85	2.51	 0.27	 0.27	12.19
32	0.15	0.03	0.00	0.82	2.51	 0.73	 0.27	11.73
33	0.15	0.07	0.00	0.78	2.51	 1.32	 0.27	11.16
34	0.15	0.12	0.00	0.73	2.51	 2.04	 0.27	10.45
35	0.15	0.19	0.00	0.66	2.51	2.95	0.27	9.57
36	0.15	0.26	0.00	0.59	2.51	4.07	0.27	8.48
37	0.15	0.36	0.00	0.49	2.51	5.46	0.27	7.12
38	0.15	0.48	0.00	0.37	2.51	7.20	0.27	5.43
39	0.15	0.63	0.00	0.22	2.51	9.36	0.27	3.32
40	0.15	0.82	0.00	0.03	2.51	12.05	 0.27	 0.70
41	0.22	0.00	0.00	0.78	3.60	 0.27	 0.27	11.18
42	0.22	0.03	0.00	0.75	3.60	 0.73	 0.27	10.72
43	0.22	0.07	0.00	0.71	3.60	 1.32	 0.27	10.15
44	0.22	0.12	0.00	0.66	3.60	2.04	0.27	9.44
45	0.22	0.19	0.00	0.59	3.60	2.95	0.27	8.57
46	0.22	0.26	0.00	0.51	3.60	4.07	0.27	7.47
47	0.22	0.36	0.00	0.42	3.60	5.46	0.27	6.11
48	0.22	0.48	0.00	0.30	3.60	7.20	0.27	4.42
49	0.22	0.63	0.00	0.15	3.60	9.36	0.27	2.31
50	0.31	0.00	0.00	0.69	4.93	0.27	0.27	9.95
51	0.31	0.03	0.00	0.66	4.93	0.73	0.27	9.50
52	0.31	0.07	0.00	0.62	4.93	1.32	0.27	8.93
53	0.31	0.12	0.00	0.57	4.93	2.04	0.27	8.22
54	0.31	0.19	0.00	0.51	4.93	2.95	0.27	7.34
55	0.31	0.26	0.00	0.43	4.93	4.07	0.27	6.25
56	0.31	0.36	0.00	0.33	4.93	5.46	0.27	4.88
57	0.31	0.48	0.00	0.21	4.93	7.20	0.27	3.19
58	0.31	0.63	0.00	0.06	4.93	9.36	0.27	1.08
59	0.41	0.00	0.00	0.59	6.54	0.27	0.27	8.46
60	0.41	0.03	0.00	0.55	6.54	0.73	0.27	8.01
61	0.41	0.07	0.00	0.51	6.54	1.32	0.27	7.44
62	0.41	0.12	0.00	0.46	6.54	2.04	0.27	6.73
63	0.41	0.19	0.00	0.40	6.54	2.95	0.27	5.85
64	0.41	0.26	0.00	0.32	6.54	4.07	0.27	4.76
65	0.41	0.36	0.00	0.22	6.54	5.46	0.27	3.40
66	0.41	0.48	0.00	0.10	6.54	7.20	0.27	1.70
67	0.54	0.00	0.00	0.46	8.49	0.27	0.27	6.65
68	0.54	0.03	0.00	0.42	8.49	0.73	0.27	6.20
69	0.54	0.07	0.00	0.38	8.49	1.32	0.27	5.63
70	0.54	0.12	0.00	0.33	8.49	2.04	0.27	4.92
71	0.54	0.19	0.00	0.27	8.49	2.95	0.27	4.04
72	0.54	0.26	0.00	0.19	8.49	4.07	0.27	2.95
73	0.54	0.36	0.00	0.09	8.49	5.46	0.27	1.59
74	0.70	0.00	0.00	0.30	10.86	 0.27	 0.27	 4.46
75	0.70	0.03	0.00	0.27	10.86	 0.73	 0.27	 4.00
76	0.70	0.07	0.00	0.23	10.86	 1.32	 0.27	 3.43
77	0.70	0.12	0.00	0.18	10.86	 2.04	 0.27	 2.73
78	0.70	0.19	0.00	0.11	10.86	 2.95	 0.27	 1.85
79	0.70	0.26	0.00	0.03	10.86	 4.07	 0.27	 0.75
80	0.89	0.00	0.00	0.11	13.74	 0.27	 0.27	 1.80
81	0.89	0.03	0.00	0.08	13.74	 0.73	 0.27	 1.34
82	0.89	0.07	0.00	0.04	13.74	 1.32	 0.27	 0.77
Mixer 2
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
1	0.00	0.00	0.00	1.00	0.27	 0.27	 0.27	14.27
2	0.00	0.03	0.00	0.97	0.27	 0.75	 0.27	13.81
3	0.00	0.07	0.00	0.93	0.27	 1.35	 0.27	13.24
4	0.00	0.12	0.00	0.88	0.27	 2.09	 0.27	12.53
5	0.00	0.19	0.00	0.81	0.27	 3.02	 0.27	11.66
6	0.00	0.26	0.00	0.74	0.27	 4.17	 0.27	10.56
7	0.00	0.36	0.00	0.64	0.27	5.60	0.27	9.20
8	0.00	0.48	0.00	0.52	0.27	7.39	0.27	7.51
9	0.00	0.63	0.00	0.37	0.27	9.60	0.27	5.40
10	0.00	0.82	0.00	0.18	0.27	12.37	 0.27	 2.78
11	0.04	0.00	0.00	0.96	0.87	 0.27	 0.27	13.70
12	0.04	0.03	0.00	0.93	0.87	 0.75	 0.27	13.25
13	0.04	0.07	0.00	0.89	0.87	 1.35	 0.27	12.68
14	0.04	0.12	0.00	0.84	0.87	 2.09	 0.27	11.97
15	0.04	0.19	0.00	0.77	0.87	 3.02	 0.27	11.09
16	0.04	0.26	0.00	0.70	0.87	 4.17	 0.27	10.00
17	0.04	0.36	0.00	0.60	0.87	5.60	0.27	8.64
18	0.04	0.48	0.00	0.48	0.87	7.39	0.27	6.94
19	0.04	0.63	0.00	0.33	0.87	9.60	0.27	4.83
20	0.04	0.82	0.00	0.14	0.87	12.37	 0.27	 2.21
21	0.09	0.00	0.00	0.91	1.60	 0.27	 0.27	13.02
22	0.09	0.03	0.00	0.88	1.60	 0.75	 0.27	12.56
23	0.09	0.07	0.00	0.84	1.60	 1.35	 0.27	11.99
24	0.09	0.12	0.00	0.79	1.60	 2.09	 0.27	11.29
25	0.09	0.19	0.00	0.72	1.60	 3.02	 0.27	10.41
26	0.09	0.26	0.00	0.65	1.60	4.17	0.27	9.31
27	0.09	0.36	0.00	0.55	1.60	5.60	0.27	7.95
28	0.09	0.48	0.00	0.43	1.60	7.39	0.27	6.26
29	0.09	0.63	0.00	0.28	1.60	9.60	0.27	4.15
30	0.09	0.82	0.00	0.09	1.60	12.37	 0.27	 1.53
31	0.15	0.00	0.00	0.85	2.49	 0.27	 0.27	12.19
32	0.15	0.03	0.00	0.82	2.49	 0.75	 0.27	11.73
33	0.15	0.07	0.00	0.78	2.49	 1.35	 0.27	11.16
34	0.15	0.12	0.00	0.73	2.49	 2.09	 0.27	10.45
35	0.15	0.19	0.00	0.66	2.49	3.02	0.27	9.57
36	0.15	0.26	0.00	0.59	2.49	4.17	0.27	8.48
37	0.15	0.36	0.00	0.49	2.49	5.60	0.27	7.12
38	0.15	0.48	0.00	0.37	2.49	7.39	0.27	5.43
39	0.15	0.63	0.00	0.22	2.49	9.60	0.27	3.32
40	0.15	0.82	0.00	0.03	2.49	12.37	 0.27	 0.70
41	0.22	0.00	0.00	0.78	3.57	 0.27	 0.27	11.18
42	0.22	0.03	0.00	0.75	3.57	 0.75	 0.27	10.72
43	0.22	0.07	0.00	0.71	3.57	 1.35	 0.27	10.15
44	0.22	0.12	0.00	0.66	3.57	2.09	0.27	9.44
45	0.22	0.19	0.00	0.59	3.57	3.02	0.27	8.57
46	0.22	0.26	0.00	0.51	3.57	4.17	0.27	7.47
47	0.22	0.36	0.00	0.42	3.57	5.60	0.27	6.11
48	0.22	0.48	0.00	0.30	3.57	7.39	0.27	4.42
49	0.22	0.63	0.00	0.15	3.57	9.60	0.27	2.31
50	0.31	0.00	0.00	0.69	4.88	0.27	0.27	9.95
51	0.31	0.03	0.00	0.66	4.88	0.75	0.27	9.50
52	0.31	0.07	0.00	0.62	4.88	1.35	0.27	8.93
53	0.31	0.12	0.00	0.57	4.88	2.09	0.27	8.22
54	0.31	0.19	0.00	0.51	4.88	3.02	0.27	7.34
55	0.31	0.26	0.00	0.43	4.88	4.17	0.27	6.25
56	0.31	0.36	0.00	0.33	4.88	5.60	0.27	4.88
57	0.31	0.48	0.00	0.21	4.88	7.39	0.27	3.19
58	0.31	0.63	0.00	0.06	4.88	9.60	0.27	1.08
59	0.41	0.00	0.00	0.59	6.47	0.27	0.27	8.46
60	0.41	0.03	0.00	0.55	6.47	0.75	0.27	8.01
61	0.41	0.07	0.00	0.51	6.47	1.35	0.27	7.44
62	0.41	0.12	0.00	0.46	6.47	2.09	0.27	6.73
63	0.41	0.19	0.00	0.40	6.47	3.02	0.27	5.85
64	0.41	0.26	0.00	0.32	6.47	4.17	0.27	4.76
65	0.41	0.36	0.00	0.22	6.47	5.60	0.27	3.40
66	0.41	0.48	0.00	0.10	6.47	7.39	0.27	1.70
67	0.54	0.00	0.00	0.46	8.40	0.27	0.27	6.65
68	0.54	0.03	0.00	0.42	8.40	0.75	0.27	6.20
69	0.54	0.07	0.00	0.38	8.40	1.35	0.27	5.63
70	0.54	0.12	0.00	0.33	8.40	2.09	0.27	4.92
71	0.54	0.19	0.00	0.27	8.40	3.02	0.27	4.04
72	0.54	0.26	0.00	0.19	8.40	4.17	0.27	2.95
73	0.54	0.36	0.00	0.09	8.40	5.60	0.27	1.59
74	0.70	0.00	0.00	0.30	10.75	 0.27	 0.27	 4.46
75	0.70	0.03	0.00	0.27	10.75	 0.75	 0.27	 4.00
76	0.70	0.07	0.00	0.23	10.75	 1.35	 0.27	 3.43
77	0.70	0.12	0.00	0.18	10.75	 2.09	 0.27	 2.73
78	0.70	0.19	0.00	0.11	10.75	 3.02	 0.27	 1.85
79	0.70	0.26	0.00	0.03	10.75	 4.17	 0.27	 0.75
80	0.89	0.00	0.00	0.11	13.60	 0.27	 0.27	 1.80
81	0.89	0.03	0.00	0.08	13.60	 0.75	 0.27	 1.34
82	0.89	0.07	0.00	0.04	13.60	 1.35	 0.27	 0.77
% Making Code # 1 = [0.00  0.00  0.00  1.00]
% Making Code # 2 = [0.00  0.03  0.00  0.97]
% Making Code # 3 = [0.00  0.07  0.00  0.93]
% Making Code # 4 = [0.00  0.12  0.00  0.88]
% Making Code # 5 = [0.00  0.19  0.00  0.81]
% Making Code # 6 = [0.00  0.26  0.00  0.74]
% Making Code # 7 = [0.00  0.36  0.00  0.64]
% Making Code # 8 = [0.00  0.48  0.00  0.52]
% Making Code # 9 = [0.00  0.63  0.00  0.37]
% Making Code # 10 = [0.00  0.82  0.00  0.18]
% Making Code # 11 = [0.04  0.00  0.00  0.96]
% Making Code # 12 = [0.04  0.03  0.00  0.93]
% Making Code # 13 = [0.04  0.07  0.00  0.89]
% Making Code # 14 = [0.04  0.12  0.00  0.84]
% Making Code # 15 = [0.04  0.19  0.00  0.77]
% Making Code # 16 = [0.04  0.26  0.00  0.70]
% Making Code # 17 = [0.04  0.36  0.00  0.60]
% Making Code # 18 = [0.04  0.48  0.00  0.48]
% Making Code # 19 = [0.04  0.63  0.00  0.33]
% Making Code # 20 = [0.04  0.82  0.00  0.14]
% Making Code # 21 = [0.09  0.00  0.00  0.91]
% Making Code # 22 = [0.09  0.03  0.00  0.88]
% Making Code # 23 = [0.09  0.07  0.00  0.84]
% Making Code # 24 = [0.09  0.12  0.00  0.79]
% Making Code # 25 = [0.09  0.19  0.00  0.72]
% Making Code # 26 = [0.09  0.26  0.00  0.65]
% Making Code # 27 = [0.09  0.36  0.00  0.55]
% Making Code # 28 = [0.09  0.48  0.00  0.43]
% Making Code # 29 = [0.09  0.63  0.00  0.28]
% Making Code # 30 = [0.09  0.82  0.00  0.09]
% Making Code # 31 = [0.15  0.00  0.00  0.85]
% Making Code # 32 = [0.15  0.03  0.00  0.82]
% Making Code # 33 = [0.15  0.07  0.00  0.78]
% Making Code # 34 = [0.15  0.12  0.00  0.73]
% Making Code # 35 = [0.15  0.19  0.00  0.66]
% Making Code # 36 = [0.15  0.26  0.00  0.59]
% Making Code # 37 = [0.15  0.36  0.00  0.49]
% STOPPED!
